kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik

"['Classic Books for Children', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family']",Tales from Moominvalley,4.32,8268,Thomas Warburton,"61,101",9-12,192,Apr,2013,St Martin's Press,United States,English

"['Fantasy', 'Fantasy Books', 'Funny Books & Stories', 'Children's Fiction', 'Fantasy Books for Kids', 'Funny Books for Kids']","That Time I Got Reincarnated as a Slime, Vol. 4 (light novel)",4.43,1444,Mitz Vah,"5,198",12-15,288,Dec,2018,"Little, Brown & Company",United States,English

"['General Knowledge', 'Children's Reference Books', 'Dictionaries for Kids']",Oxford Very First Dictionary,4.5,2,Georgie Birkett,"24,488",12-17,64,May,2012,Oxford University Press,United Kingdom,English

"['Adventure Books for Kids', 'Mystery Books for Kids', 'Family', 'Funny Books for Kids', 'Historical', 'Family Issues']",The Black Circle,4.01,51146,Patrick Carman,"24,926",12-17,176,Nov,2010,Scholastic US,United States,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Family']",The Statistical Probability of Love at First Sight,3.77,113570,Jennifer E Smith,"25,124",12-17,272,Jan,2013,"Little, Brown & Company",United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Thief,3.86,80641,Megan Whalen Turner,"64,473",12-17,304,Apr,2017,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Animal Stories', 'Historical']",Chronicles of Ancient Darkness: Soul Eater : Book 3 from the bestselling author of Wolf Brother,4.29,12175,Michelle Paver,"5,332",9+,288,Apr,2011,Hachette Children's Group,United Kingdom,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Cartoons']","One Piece, Vol. 80",4.52,2407,Eiichiro Oda,"24,943",12-15,208,Nov,2016,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Graphic Novels: Superheroes', 'Graphic Novels: Superheroes', 'Children's Fiction', 'Graphic Novels']",Hulk: Planet Hulk,4.26,13695,Greg Pak,"25,133",12-17,416,Apr,2008,Marvel Comics,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Society & Social Issues']",Hunger,4.02,83159,Michael Grant,"25,122",12-17,608,Apr,2014,HarperCollins Publishers Inc,United States,English

